,rssi,prr,prr2,snr,txentrega,relacao,latencia-ms,potencia,estimation,diff-txentrega
296,-108.42330748088364,0.0,0.0,-6.488146110342045,0.0,0.0,999.0,45.0,1.0,0.0
297,-108.55694777836105,0.0,0.0,-5.776059642224858,0.0,0.0,999.0,45.0,1.0,0.0
298,-108.6346374323486,0.0,0.0,12.79119265858625,0.0,0.0,999.0,45.0,1.0,0.0
300,-103.17520704834084,0.0,0.0,-3.6581167997277735,0.0,0.0,999.0,45.0,1.0,0.0
301,-105.79539502035277,0.0,0.0,-6.048192847318442,0.0,0.0,999.0,45.0,1.0,0.0
302,-108.60422666562769,0.0,0.0,-6.077966614287876,0.0,0.0,999.0,45.0,1.0,0.0
303,-108.48772758996748,0.0,0.0,0.7002608343865522,0.0,0.0,999.0,45.0,1.0,0.0
304,-108.41843151805773,0.0,0.0,2.2790020670583115,0.0,0.0,999.0,45.0,1.0,0.0
305,-108.589179094307,0.0,0.0,-6.539866279707823,0.0,0.0,999.0,45.0,1.0,0.0
306,-108.50558168245828,0.0,0.0,-6.500316283050893,0.0,0.0,999.0,45.0,1.0,0.0
307,-108.30134942237522,0.0,0.0,-5.191831579842949,0.0,0.0,999.0,45.0,1.0,0.0
308,-108.45868868766694,0.0,0.0,-7.3726624530024365,0.0,0.0,999.0,45.0,1.0,0.0
310,-108.37240511478252,0.0,0.0,-2.5152626637122806,0.0,0.0,999.0,45.0,1.0,0.0
311,-108.42908834700802,0.0,0.0,-6.416911998858656,0.0,0.0,999.0,45.0,1.0,0.0
312,-105.45776372260435,0.0,0.0,14.080420357599607,0.0,0.0,999.0,45.0,1.0,0.0
313,-108.42038322854776,0.0,0.0,-5.278461457417434,0.0,0.0,999.0,45.0,1.0,0.0
314,-108.43144082607323,0.0,0.0,-7.770997277351405,0.0,0.0,999.0,45.0,1.0,0.0
315,-108.44839478290464,0.0,0.0,-6.6231786525539835,0.0,0.0,999.0,45.0,1.0,0.0
316,-108.46873598662668,0.0,0.0,-5.752952579306389,0.0,0.0,999.0,45.0,1.0,0.0
317,-103.22316858687608,0.0,0.0,-5.747898588378379,0.0,0.0,999.0,45.0,1.0,0.0
318,-93.11207654070385,0.0,0.0,-4.035662181912476,0.0,0.0,999.0,45.0,1.0,0.0
319,-108.49683740217688,0.0,0.0,-5.964976833956469,0.0,0.0,999.0,45.0,1.0,0.0
320,-108.57821274933552,0.0,0.0,-5.886695851181745,0.0,0.0,999.0,45.0,1.0,0.0
321,-108.36626850932377,0.0,0.0,-6.834259695717403,0.0,0.0,999.0,45.0,1.0,0.0
322,-107.988426228732,0.0,0.0,-5.684959609248941,0.0,0.0,999.0,45.0,1.0,0.0
323,-108.34765031978957,0.0,0.0,-6.987838977430619,0.0,0.0,999.0,45.0,1.0,0.0
324,-108.43354521897356,0.0,0.0,13.630288348087694,0.0,0.0,999.0,45.0,1.0,0.0
325,-108.54023868833694,0.0,0.0,-8.928235789988523,0.0,0.0,999.0,45.0,1.0,0.0
326,-108.43429286813593,0.0,0.0,6.279681123227812,0.0,0.0,999.0,45.0,1.0,0.0
327,-108.3475016292579,0.0,0.0,-5.549704435040237,0.0,0.0,999.0,45.0,1.0,0.0
328,-107.58688912298383,0.0,0.0,-9.116228902251184,0.0,0.0,999.0,45.0,1.0,0.0
329,-108.08610093893623,0.0,0.0,-6.833470724189569,0.0,0.0,999.0,45.0,1.0,0.0
330,-108.1013715647788,0.0,0.0,-4.777488113608047,0.0,0.0,999.0,45.0,1.0,0.0
331,-108.40586552654264,0.0,0.0,-6.175269237281751,0.0,0.0,999.0,45.0,1.0,0.0
332,-108.58968589480516,0.0,0.0,13.157323756560054,0.0,0.0,999.0,45.0,1.0,0.0
334,-108.52710768077492,0.0,0.0,-5.893491907056492,0.0,0.0,999.0,45.0,1.0,0.0
335,-108.53574378310692,0.0,0.0,14.51539639609882,0.0,0.0,999.0,45.0,1.0,0.0
336,-108.47349536478231,0.0,0.0,-6.337399025963433,0.0,0.0,999.0,45.0,1.0,0.0
338,-107.90634382123751,0.0,0.0,14.417058313645976,0.0,0.0,999.0,45.0,1.0,0.0
340,-108.63666082440096,0.0,0.0,4.317027167630227,0.0,0.0,999.0,45.0,1.0,0.0
341,-108.5095104797135,0.0,0.0,-7.274044802997023,0.0,0.0,999.0,45.0,1.0,0.0
342,-108.30855429532164,0.0,0.0,13.635673302548387,0.0,0.0,999.0,45.0,1.0,0.0
344,-108.40175718660556,0.0,0.0,-6.164600662292307,0.0,0.0,999.0,45.0,1.0,0.0
345,-108.04941924167385,0.0,0.0,-6.066665851620388,0.0,0.0,999.0,45.0,1.0,0.0
346,-108.54359021913812,0.0,0.0,-0.4862868382821346,0.0,0.0,999.0,45.0,1.0,0.0
347,-106.03121075547891,0.0,0.0,-6.357486053329454,0.0,0.0,999.0,45.0,1.0,0.0
348,-108.41895971850944,0.0,0.0,-6.304701206658926,0.0,0.0,999.0,45.0,1.0,0.0
350,-108.55261572729215,0.0,0.0,14.610630829828752,0.0,0.0,999.0,45.0,1.0,0.0
351,-108.47262715230272,0.0,0.0,-4.943351872746772,0.0,0.0,999.0,45.0,1.0,0.0
352,-105.74684575057378,0.0,0.0,-5.739334704884597,0.0,0.0,999.0,45.0,1.0,0.0
353,-106.19837240737715,0.0,0.0,-5.9855335520239175,0.0,0.0,999.0,45.0,1.0,0.0
354,-108.52975544846964,0.0,0.0,-6.133941873597637,0.0,0.0,999.0,45.0,1.0,0.0
356,-108.52851910092559,0.0,0.0,-3.6249314746361216,0.0,0.0,999.0,45.0,1.0,0.0
357,-108.60011861908347,0.0,0.0,15.981343125785976,0.0,0.0,999.0,45.0,1.0,0.0
358,-104.64502224684223,0.0,0.0,-2.4413527049456683,0.0,0.0,999.0,45.0,1.0,0.0
359,-108.44043420726612,0.0,0.0,-4.6544695885425185,0.0,0.0,999.0,45.0,1.0,0.0
360,-108.635027463517,0.0,0.0,10.298360717773807,0.0,0.0,999.0,45.0,1.0,0.0
361,-108.43967639075272,0.0,0.0,12.834271244874241,0.0,0.0,999.0,45.0,1.0,0.0
362,-108.6061894250308,0.0,0.0,-6.519241684886088,0.0,0.0,999.0,45.0,1.0,0.0
363,-108.60410267253323,0.0,0.0,14.589269288015375,0.0,0.0,999.0,45.0,1.0,0.0
364,-108.56271346883881,0.0,0.0,-5.448768361223428,0.0,0.0,999.0,45.0,1.0,0.0
365,-108.46142472628124,0.0,0.0,-6.9776339787933175,0.0,0.0,999.0,45.0,1.0,0.0
366,-107.41309572561094,0.0,0.0,-5.92979596729784,0.0,0.0,999.0,45.0,1.0,0.0
367,-108.34655441415451,0.0,0.0,8.654418892574775,0.0,0.0,999.0,45.0,1.0,0.0
368,-108.49076875362543,0.0,0.0,-3.232028679811194,0.0,0.0,999.0,45.0,1.0,0.0
369,-108.4278049588368,0.0,0.0,-7.250240200768792,0.0,0.0,999.0,45.0,1.0,0.0
371,-108.32473787445689,0.0,0.0,-5.4019786501771465,0.0,0.0,999.0,45.0,1.0,0.0
